factor,age,gain_years,gain_projection_low,gain_projection_high,factor_projection_low,factor_projection_high,projection_neighbor_count
0.8,60,-7.1249999999999964,-9.135854341736678,-4.90612244897958,0.7484593837535015,0.8557022809123651,5
0.8,65,-6.200000000000005,-7.848529411764713,-4.328931572629046,0.7484593837535015,0.8557022809123651,5
0.8,70,-5.099999999999994,-6.435434173669471,-3.607442977190872,0.7484593837535015,0.8557022809123651,5
0.8,75,-3.9500000000000046,-4.998879551820721,-2.888805522208879,0.7484593837535015,0.8557022809123651,5
0.8,80,-2.875,-3.518487394957982,-2.1423169267707007,0.7484593837535015,0.8557022809123651,5
0.8,85,-1.9249999999999972,-2.359243697478999,-1.3986794717887163,0.7484593837535015,0.8557022809123651,5
0.8,90,-1.1749999999999972,-1.5319327731092487,-0.8936374549820025,0.7484593837535015,0.8557022809123651,5
0.8,95,-0.7750000000000057,-0.9303921568627422,-0.5907863145258095,0.7484593837535015,0.8557022809123651,5
0.8,100,-0.375,-0.41644657863144907,-0.39348739495798163,0.7484593837535015,0.8557022809123651,5
0.85,60,-5.25,-7.11239495798319,-3.197569027611034,0.7984593837535015,0.905702280912365,5
0.85,65,-4.650000000000009,-6.200840336134459,-2.8232292917166846,0.7984593837535015,0.905702280912365,5
0.85,70,-3.8499999999999943,-5.067366946778717,-2.3574429771908743,0.7984593837535015,0.905702280912365,5
0.85,75,-3.049999999999999,-3.98158263305321,-1.9138055222088741,0.7984593837535015,0.905702280912365,5
0.85,80,-2.200000000000003,-2.8942577030812324,-1.4173169267707062,0.7984593837535015,0.905702280912365,5
0.85,85,-1.4499999999999886,-1.9138655462184933,-0.9344237695078018,0.7984593837535015,0.905702280912365,5
0.85,90,-0.875,-1.2584733893557425,-0.6157863145258159,0.7984593837535015,0.905702280912365,5
0.85,95,-0.625,-0.7190476190476244,-0.30219087635054237,0.7984593837535015,0.905702280912365,5
0.85,100,-0.375,-0.6536414565826276,-0.3257653061224439,0.7984593837535015,0.905702280912365,5
0.9,60,-3.399999999999988,-5.1351140456182405,-1.4810324129651835,0.8490996398559424,0.9544297719087635,5
0.9,65,-3.050000000000015,-4.5297118847539,-1.3215366146458585,0.8490996398559424,0.9544297719087635,5
0.9,70,-2.5750000000000046,-3.7729591836734686,-1.1392557022809102,0.8490996398559424,0.9544297719087635,5
0.9,75,-2.049999999999999,-3.017106842737094,-0.9569747899159621,0.8490996398559424,0.9544297719087635,5
0.9,80,-1.4500000000000028,-2.236704681872743,-0.7063385354141566,0.8490996398559424,0.9544297719087635,5
0.9,85,-0.9749999999999944,-1.4581032412965211,-0.38734693877550685,0.8490996398559424,0.9544297719087635,5
0.9,90,-0.5999999999999943,-0.9308523409363855,-0.31899159663866267,0.8490996398559424,0.9544297719087635,5
0.9,95,-0.4249999999999971,-0.6265756302521008,-0.11392557022809104,0.8490996398559424,0.9544297719087635,5
0.9,100,-0.25,-0.4292767106842706,-0.12531812725090266,0.8490996398559424,0.9544297719087635,5
0.95,60,-1.649999999999988,-3.0682973189275655,-0.17856142456982899,0.909343737494998,0.9945058023209283,5
0.95,65,-1.5000000000000036,-2.710344137655064,-0.15933173269307846,0.909343737494998,0.9945058023209283,5
0.95,70,-1.2750000000000057,-2.266406562625051,-0.1373549419767915,0.909343737494998,0.9945058023209283,5
0.95,75,-1.0750000000000046,-1.8427971188475323,-0.11537815126050453,0.909343737494998,0.9945058023209283,5
0.95,80,-0.75,-1.364515806322528,-0.08516006402560983,0.909343737494998,0.9945058023209283,5
0.95,85,-0.5,-0.8925470188075229,-0.046700680272108816,0.909343737494998,0.9945058023209283,5
0.95,90,-0.2999999999999971,-0.5939375750300184,-0.038459383753502566,0.909343737494998,0.9945058023209283,5
0.95,95,-0.2000000000000028,-0.28762505002001043,-0.013735494197679153,0.909343737494998,0.9945058023209283,5
0.95,100,-0.2000000000000028,-0.31028911564625455,-0.015109043617447375,0.909343737494998,0.9945058023209283,5
1.0,60,0.0,-1.3213285314125633,1.4019327731092452,0.959343737494998,1.0445058023209284,5
1.0,65,0.0,-1.1790316126450588,1.2684153661464552,0.959343737494998,1.0445058023209284,5
1.0,70,0.0,-1.0164065626250487,1.1348979591836779,0.959343737494998,1.0445058023209284,5
1.0,75,0.0,-0.8537815126050385,0.86786314525811,0.959343737494998,1.0445058023209284,5
1.0,80,0.0,-0.6301720688275233,0.6675870348139251,0.959343737494998,1.0445058023209284,5
1.0,85,0.0,-0.3455782312925142,0.4450580232092834,0.959343737494998,1.0445058023209284,5
1.0,90,0.0,-0.28459383753502054,0.289287715086024,0.959343737494998,1.0445058023209284,5
1.0,95,0.0,-0.10164065626250486,0.2225290116046417,0.959343737494998,1.0445058023209284,5
1.0,100,0.0,-0.11180472188875762,0.066758703481395,0.959343737494998,1.0445058023209284,5
1.05,60,1.5750000000000064,-0.029261704681871566,3.1149659863945596,0.9990996398559424,1.104421768707483,5
1.05,65,1.4249999999999936,-0.02611044417767004,2.8605442176870755,0.9990996398559424,1.104421768707483,5
1.05,70,1.25,-0.02250900360143964,2.549489795918371,0.9990996398559424,1.104421768707483,5
1.05,75,1.0,-0.01890756302520924,2.0634353741496687,0.9990996398559424,1.104421768707483,5
1.05,80,0.7500000000000018,-0.013955582232892472,1.5729591836734702,0.9990996398559424,1.104421768707483,5
1.05,85,0.5,-0.007653061224489451,1.1486394557823074,0.9990996398559424,1.104421768707483,5
1.05,90,0.3500000000000085,-0.006302521008403265,0.7287414965986285,0.9990996398559424,1.104421768707483,5
1.05,95,0.1500000000000056,-0.002250900360143968,0.41768707482992384,0.9990996398559424,1.104421768707483,5
1.05,100,0.0499999999999971,-0.0024759903961584155,0.23163265306121908,0.9990996398559424,1.104421768707483,5
1.1,60,3.0,0.719747899159664,5.122959183673476,1.0228491396558623,1.1822729091636655,5
1.1,65,2.75,0.6512004801920744,4.774549819927965,1.0228491396558623,1.1822729091636655,5
1.1,70,2.424999999999997,0.5826530612244915,4.28500400160064,1.0228491396558623,1.1822729091636655,5
1.1,75,2.0,0.44555822328931877,3.588185274109655,1.0228491396558623,1.1822729091636655,5
1.1,80,1.5499999999999972,0.34273709483793463,2.7929571828731583,1.0228491396558623,1.1822729091636655,5
1.1,85,1.0750000000000028,0.22849139655862308,2.0211384553821468,1.0228491396558623,1.1822729091636655,5
1.1,90,0.7250000000000085,0.14851940776309977,1.2831832733093194,1.0228491396558623,1.1822729091636655,5
1.1,95,0.4000000000000057,0.11424569827931154,0.7613645458183219,1.0228491396558623,1.1822729091636655,5
1.1,100,0.1749999999999971,0.03427370948379474,0.39681872749099734,1.0228491396558623,1.1822729091636655,5
1.15,60,4.350000000000012,1.8792737094837897,6.475512204881963,1.0606762705082031,1.2409323729491797,5
1.15,65,4.049999999999994,1.7079211684673792,6.059579831932772,1.0606762705082031,1.2409323729491797,5
1.15,70,3.5999999999999908,1.5258923569427771,5.493647458983591,1.0606762705082031,1.2409323729491797,5
1.15,75,3.0,1.1885254101640697,4.641316526610656,1.0606762705082031,1.2409323729491797,5
1.15,80,2.299999999999997,0.9101440576230461,3.643519407763112,1.0606762705082031,1.2409323729491797,5
1.15,85,1.6000000000000083,0.6281152460984356,2.6752561024409687,1.0606762705082031,1.2409323729491797,5
1.15,90,1.0500000000000114,0.4050720288115116,1.7115266106442506,1.0606762705082031,1.2409323729491797,5
1.15,95,0.5499999999999972,0.2820288115246074,1.03419567827131,1.0606762705082031,1.2409323729491797,5
1.15,100,0.3499999999999943,0.10702881152461019,0.5932633053221295,1.0606762705082031,1.2409323729491797,5
1.2,60,5.5500000000000185,3.2775830332132836,7.555046018407365,1.1106762705082032,1.2909323729491797,5
1.2,65,5.1999999999999815,3.016906762705078,7.109579831932772,1.1106762705082032,1.2909323729491797,5
1.2,70,4.674999999999997,2.6902160864345728,6.4731812725090085,1.1106762705082032,1.2909323729491797,5
1.2,75,3.9249999999999954,2.1885254101640705,5.516316526610656,1.1106762705082032,1.2909323729491797,5
1.2,80,3.075000000000003,1.6761584633853521,4.388985594237701,1.1106762705082032,1.2909323729491797,5
1.2,85,2.1750000000000114,1.217438975590228,3.2252561024409774,1.1106762705082032,1.2909323729491797,5
1.2,90,1.4250000000000114,0.7693957583033095,2.0615266106442562,1.1106762705082032,1.2909323729491797,5
1.2,95,0.7999999999999972,0.44270508203280456,1.2796618647459013,1.1106762705082032,1.2909323729491797,5
1.2,100,0.4249999999999971,0.24101440576229957,0.6659323729491774,1.1106762705082032,1.2909323729491797,5
