scenario_id,factor,age,remaining_median,n,random_seed,baseline_remaining,gain_years,gain_fit_low,gain_fit_high,gain_projection_low,gain_projection_high,factor_projection_low,factor_projection_high,factor_projection_low_delta,factor_projection_high_delta,projection_neighbor_count,gain_low,gain_high,uncertainty_method
central,0.8,60,16.599999999999994,300000,20265520,23.72499999999999,-7.1249999999999964,-7.175000000000015,-7.1249999999999964,-7.175000000000015,-5.011164465786324,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-7.175000000000015,-7.1249999999999964,fit_ci_plus_projection_boundaries_v1
central,0.8,65,13.075000000000005,300000,20265520,19.27500000000001,-6.200000000000005,-6.250000000000002,-6.199999999999985,-6.250000000000002,-4.44822929171668,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-6.250000000000002,-6.199999999999985,fit_ci_plus_projection_boundaries_v1
central,0.8,70,10.025000000000006,300000,20265520,15.125,-5.099999999999994,-5.200000000000001,-5.099999999999991,-5.200000000000001,-3.685294117647046,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-5.200000000000001,-5.099999999999991,fit_ci_plus_projection_boundaries_v1
central,0.8,75,7.5,300000,20265520,11.450000000000005,-3.9500000000000046,-4.0,-3.9249999999999954,-4.0,-2.8888055222088793,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-4.0,-3.9249999999999954,fit_ci_plus_projection_boundaries_v1
central,0.8,80,5.450000000000003,300000,20265520,8.325000000000003,-2.875,-2.924999999999997,-2.8499999999999943,-2.924999999999997,-2.0951680672268864,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-2.924999999999997,-2.8499999999999943,fit_ci_plus_projection_boundaries_v1
central,0.8,85,3.924999999999997,300000,20265520,5.849999999999994,-1.9249999999999972,-2.0,-1.9000000000000057,-2.0,-1.3958283313325217,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-2.0,-1.9000000000000057,fit_ci_plus_projection_boundaries_v1
central,0.8,90,2.799999999999997,300000,20265520,3.9749999999999943,-1.1749999999999972,-1.2250000000000085,-1.1749999999999972,-1.2250000000000085,-0.8436374549819917,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-1.2250000000000085,-1.1749999999999972,fit_ci_plus_projection_boundaries_v1
central,0.8,95,1.9749999999999943,300000,20265520,2.75,-0.7750000000000057,-0.7750000000000057,-0.7000000000000028,-0.7750000000000057,-0.4828931572629043,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-0.7750000000000057,-0.7000000000000028,fit_ci_plus_projection_boundaries_v1
central,0.8,100,1.5,300000,20265520,1.875,-0.375,-0.5,-0.32500000000000284,-0.5,-0.22214885954382538,0.8,0.855702280912365,0.05154061624649853,0.055702280912364954,5,-0.5,-0.32500000000000284,fit_ci_plus_projection_boundaries_v1
central,0.85,60,18.47499999999999,300000,20265621,23.72499999999999,-5.25,-5.350000000000012,-5.225000000000012,-7.175000000000015,-3.156122448979604,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-5.350000000000012,-5.225000000000012,fit_ci_plus_projection_boundaries_v1
central,0.85,65,14.625,300000,20265621,19.27500000000001,-4.650000000000009,-4.750000000000002,-4.6249999999999964,-6.250000000000002,-2.828931572629049,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-4.750000000000002,-4.6249999999999964,fit_ci_plus_projection_boundaries_v1
central,0.85,70,11.275000000000006,300000,20265621,15.125,-3.8499999999999943,-3.950000000000001,-3.8249999999999886,-5.200000000000001,-2.417091836734694,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-3.950000000000001,-3.8249999999999886,fit_ci_plus_projection_boundaries_v1
central,0.85,75,8.400000000000006,300000,20265621,11.450000000000005,-3.049999999999999,-3.0999999999999943,-2.9999999999999982,-4.0,-1.9109543817526913,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-3.0999999999999943,-2.9999999999999982,fit_ci_plus_projection_boundaries_v1
central,0.85,80,6.125,300000,20265621,8.325000000000003,-2.200000000000003,-2.25,-2.174999999999997,-2.924999999999997,-1.3701680672268937,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-2.25,-2.174999999999997,fit_ci_plus_projection_boundaries_v1
central,0.85,85,4.400000000000006,300000,20265621,5.849999999999994,-1.4499999999999886,-1.5249999999999915,-1.4499999999999886,-2.0,-0.9208283313325283,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-1.5249999999999915,-1.4499999999999886,fit_ci_plus_projection_boundaries_v1
central,0.85,90,3.0999999999999943,300000,20265621,3.9749999999999943,-0.875,-0.9499999999999886,-0.875,-1.2250000000000085,-0.5657863145258052,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-0.9499999999999886,-0.875,fit_ci_plus_projection_boundaries_v1
central,0.85,95,2.125,300000,20265621,2.75,-0.625,-0.625,-0.5,-0.7750000000000057,-0.31074429771909057,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-0.625,-0.5,fit_ci_plus_projection_boundaries_v1
central,0.85,100,1.5,300000,20265621,1.875,-0.375,-0.4000000000000057,-0.22500000000000853,-0.5,-0.15789315726290176,0.8,0.9057022809123649,0.05154061624649853,0.055702280912364954,5,-0.4000000000000057,-0.22500000000000853,fit_ci_plus_projection_boundaries_v1
central,0.9,60,20.325000000000003,300000,20265722,23.72499999999999,-3.399999999999988,-3.4500000000000064,-3.350000000000012,-5.382863145258114,-1.5038175270107905,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-3.4500000000000064,-3.350000000000012,fit_ci_plus_projection_boundaries_v1
central,0.9,65,16.224999999999994,300000,20265722,19.27500000000001,-3.050000000000015,-3.075000000000003,-2.9999999999999964,-4.77701080432173,-1.3671068427370892,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-3.075000000000003,-2.9999999999999964,fit_ci_plus_projection_boundaries_v1
central,0.9,70,12.549999999999995,300000,20265722,15.125,-2.5750000000000046,-2.6000000000000103,-2.5625,-3.972509003601441,-1.1620408163265192,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-2.6000000000000103,-2.5625,fit_ci_plus_projection_boundaries_v1
central,0.9,75,9.400000000000006,300000,20265722,11.450000000000005,-2.049999999999999,-2.049999999999999,-2.0249999999999897,-3.116206482593031,-0.9341896758703371,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-2.049999999999999,-2.0249999999999897,fit_ci_plus_projection_boundaries_v1
central,0.9,80,6.875,300000,20265722,8.325000000000003,-1.4500000000000028,-1.5250000000000057,-1.4499999999999886,-2.2621548619447776,-0.6835534213685461,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-1.5250000000000057,-1.4499999999999886,fit_ci_plus_projection_boundaries_v1
central,0.9,85,4.875,300000,20265722,5.849999999999994,-0.9749999999999943,-1.0750000000000028,-0.9749999999999943,-1.5326530612244809,-0.45570228091236414,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-1.0750000000000028,-0.9749999999999943,fit_ci_plus_projection_boundaries_v1
central,0.9,90,3.375,300000,20265722,3.9749999999999943,-0.5999999999999943,-0.6499999999999915,-0.5999999999999943,-0.9540516206482479,-0.2734213685474159,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-0.6499999999999915,-0.5999999999999943,fit_ci_plus_projection_boundaries_v1
central,0.9,95,2.325000000000003,300000,20265722,2.75,-0.42499999999999716,-0.42499999999999716,-0.32500000000000284,-0.6277010804321729,-0.15949579831932487,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-0.42499999999999716,-0.32500000000000284,fit_ci_plus_projection_boundaries_v1
central,0.9,100,1.625,300000,20265722,1.875,-0.25,-0.25,-0.17499999999999716,-0.39864945978391925,-0.022785114045610434,0.8490996398559424,0.9544297719087635,0.05090036014405763,0.054429771908763525,5,-0.25,-0.17499999999999716,fit_ci_plus_projection_boundaries_v1
central,0.95,60,22.075000000000003,300000,20265823,23.72499999999999,-1.649999999999988,-1.7000000000000064,-1.649999999999988,-3.1229691876750736,-0.1813085234093598,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-1.7000000000000064,-1.649999999999988,fit_ci_plus_projection_boundaries_v1
central,0.95,65,17.775000000000006,300000,20265823,19.27500000000001,-1.5000000000000036,-1.5499999999999972,-1.4999999999999964,-2.7900160064025608,-0.16482593037214605,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-1.5499999999999972,-1.4999999999999964,fit_ci_plus_projection_boundaries_v1
central,0.95,70,13.849999999999994,300000,20265823,15.125,-1.2750000000000057,-1.325000000000001,-1.2749999999999897,-2.361734693877558,-0.14010204081632335,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-1.325000000000001,-1.2749999999999897,fit_ci_plus_projection_boundaries_v1
central,0.95,75,10.375,300000,20265823,11.450000000000005,-1.0750000000000046,-1.0750000000000046,-1.0249999999999897,-1.8677971188475375,-0.11263105242096563,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-1.0750000000000046,-1.0249999999999897,fit_ci_plus_projection_boundaries_v1
central,0.95,80,7.575000000000003,300000,20265823,8.325000000000003,-0.75,-0.7999999999999972,-0.75,-1.3895158063225321,-0.08241296518607322,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-0.7999999999999972,-0.75,fit_ci_plus_projection_boundaries_v1
central,0.95,85,5.349999999999994,300000,20265823,5.849999999999994,-0.5,-0.5749999999999886,-0.5,-0.9815626250500079,-0.054941976790715503,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-0.5749999999999886,-0.5,fit_ci_plus_projection_boundaries_v1
central,0.95,90,3.674999999999997,300000,20265823,3.9749999999999943,-0.29999999999999716,-0.3499999999999943,-0.29999999999999716,-0.584593837535006,-0.03296518607442899,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-0.3499999999999943,-0.29999999999999716,fit_ci_plus_projection_boundaries_v1
central,0.95,95,2.549999999999997,300000,20265823,2.75,-0.20000000000000284,-0.22499999999999432,-0.17499999999999716,-0.3829531812725069,-0.019229691876750114,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-0.22499999999999432,-0.17499999999999716,fit_ci_plus_projection_boundaries_v1
central,0.95,100,1.6749999999999972,300000,20265823,1.875,-0.20000000000000284,-0.20000000000000284,-0.024999999999991473,-0.24065626250500247,-0.0027470988395348383,0.9093437374949981,0.9945058023209284,0.04065626250500187,0.04450580232092849,5,-0.20000000000000284,-0.024999999999991473,fit_ci_plus_projection_boundaries_v1
central,1.0,60,23.72499999999999,300000,20265924,23.72499999999999,0.0,0.0,0.0,-1.3823129251700677,1.4019327731092484,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,65,19.27500000000001,300000,20265924,19.27500000000001,0.0,0.0,0.0,-1.2603441376550546,1.268415366146474,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,70,15.125,300000,20265924,15.125,0.0,0.0,0.0,-1.0773909563825494,1.1237715086034432,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,75,11.450000000000005,300000,20265924,11.450000000000005,0.0,0.0,0.0,-0.8741096438575432,0.9123689475790392,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,80,8.325000000000003,300000,20265924,8.325000000000003,0.0,0.0,0.0,-0.6505002000800271,0.6898399359743943,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,85,5.849999999999994,300000,20265924,5.849999999999994,0.0,0.0,0.0,-0.46754701880751187,0.4450580232092834,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,90,3.9749999999999943,300000,20265924,3.9749999999999943,0.0,0.0,0.0,-0.2845938375350082,0.33379351740696256,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,95,2.75,300000,20265924,2.75,0.0,0.0,0.0,-0.18295318127250362,0.20027611044418508,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.0,100,1.875,300000,20265924,1.875,0.0,0.0,0.0,-0.16262505002000965,0.13351740696279008,0.9593437374949981,1.0445058023209284,0.04065626250500187,0.04450580232092849,5,0.0,0.0,fit_ci_plus_projection_boundaries_v1
central,1.05,60,25.299999999999997,300000,20266025,23.72499999999999,1.5750000000000064,1.5,1.5750000000000064,-0.030612244897957996,3.119387755102043,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,1.5,1.5750000000000064,fit_ci_plus_projection_boundaries_v1
central,1.05,65,20.700000000000003,300000,20266025,19.27500000000001,1.4249999999999936,1.4000000000000057,1.4250000000000185,-0.0279111644657852,2.8649659863945582,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,1.4000000000000057,1.4250000000000185,fit_ci_plus_projection_boundaries_v1
central,1.05,70,16.375,300000,20266025,15.125,1.25,1.2000000000000028,1.2625000000000028,-0.023859543817526148,2.5392006802721103,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,1.2000000000000028,1.2625000000000028,fit_ci_plus_projection_boundaries_v1
central,1.05,75,12.450000000000005,300000,20266025,11.450000000000005,1.0,1.0,1.0250000000000092,-0.019357743097238145,2.0884353741496606,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,1.0,1.0250000000000092,fit_ci_plus_projection_boundaries_v1
central,1.05,80,9.075000000000005,300000,20266025,8.325000000000003,0.7500000000000018,0.7250000000000085,0.7750000000000057,-0.014405762304921346,1.6185374149659846,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,0.7250000000000085,0.7750000000000057,fit_ci_plus_projection_boundaries_v1
central,1.05,85,6.349999999999994,300000,20266025,5.849999999999994,0.5,0.4749999999999943,0.5,-0.010354141656662071,1.1214285714285752,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,0.4749999999999943,0.5,fit_ci_plus_projection_boundaries_v1
central,1.05,90,4.325000000000003,300000,20266025,3.9749999999999943,0.3500000000000085,0.2750000000000057,0.375,-0.006302521008403009,0.7559523809523749,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,0.2750000000000057,0.375,fit_ci_plus_projection_boundaries_v1
central,1.05,95,2.9000000000000057,300000,20266025,2.75,0.15000000000000568,0.125,0.22500000000000853,-0.004051620648259019,0.46547619047619315,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,0.125,0.22500000000000853,fit_ci_plus_projection_boundaries_v1
central,1.05,100,1.9249999999999972,300000,20266025,1.875,0.04999999999999716,0.04999999999999716,0.15000000000000568,-0.0036014405762304007,0.2816326530612305,0.9990996398559424,1.104421768707483,0.05090036014405763,0.054421768707483054,5,0.04999999999999716,0.15000000000000568,fit_ci_plus_projection_boundaries_v1
central,1.1,60,26.72499999999999,300000,20266126,23.72499999999999,3.0,2.9499999999999815,3.0,0.6854741896758693,5.124549819927983,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,2.9499999999999815,3.0,fit_ci_plus_projection_boundaries_v1
central,1.1,65,22.02500000000001,300000,20266126,19.27500000000001,2.75,2.7249999999999943,2.75,0.6397759103641472,4.792276910764287,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,2.7249999999999943,2.75,fit_ci_plus_projection_boundaries_v1
central,1.1,70,17.549999999999997,300000,20266126,15.125,2.424999999999997,2.4000000000000057,2.4375,0.5483793517406966,4.293867547018799,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,2.4000000000000057,2.4375,fit_ci_plus_projection_boundaries_v1
central,1.1,75,13.450000000000005,300000,20266126,11.450000000000005,2.0,2.0,2.0,0.45698279311724616,3.597048819527815,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,2.0,2.0,fit_ci_plus_projection_boundaries_v1
central,1.1,80,9.875,300000,20266126,8.325000000000003,1.5499999999999972,1.4749999999999925,1.5499999999999972,0.33131252501000735,2.8090936374549824,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,1.4749999999999925,1.5499999999999972,fit_ci_plus_projection_boundaries_v1
central,1.1,85,6.924999999999997,300000,20266126,5.849999999999994,1.0750000000000028,1.0,1.0750000000000028,0.2170668267306893,1.9872749099639833,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,1.0,1.0750000000000028,fit_ci_plus_projection_boundaries_v1
central,1.1,90,4.700000000000003,300000,20266126,3.9749999999999943,0.7250000000000085,0.6500000000000057,0.7250000000000085,0.12567026810724527,1.3331832733093145,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,0.6500000000000057,0.7250000000000085,fit_ci_plus_projection_boundaries_v1
central,1.1,95,3.1500000000000057,300000,20266126,2.75,0.4000000000000057,0.3500000000000085,0.45000000000000284,0.05712284913965577,0.7702280912364993,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,0.3500000000000085,0.45000000000000284,fit_ci_plus_projection_boundaries_v1
central,1.1,100,2.049999999999997,300000,20266126,1.875,0.17499999999999716,0.17499999999999716,0.2750000000000057,0.02284913965586101,0.47181872749099957,1.0228491396558623,1.1822729091636652,0.07715086034413776,0.08227290916366514,5,0.17499999999999716,0.2750000000000057,fit_ci_plus_projection_boundaries_v1
central,1.15,60,28.075000000000003,300000,20266227,23.72499999999999,4.350000000000012,4.25,4.350000000000012,1.814949979991993,5.5500000000000185,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,4.25,4.350000000000012,fit_ci_plus_projection_boundaries_v1
central,1.15,65,23.325000000000003,300000,20266227,19.27500000000001,4.049999999999994,3.9749999999999943,4.049999999999994,1.6829211684673884,5.1999999999999815,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,3.9749999999999943,4.049999999999994,fit_ci_plus_projection_boundaries_v1
central,1.15,70,18.72499999999999,300000,20266227,15.125,3.5999999999999908,3.5250000000000057,3.5999999999999908,1.4562304921968772,4.674999999999997,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,3.5250000000000057,3.5999999999999908,fit_ci_plus_projection_boundaries_v1
central,1.15,75,14.450000000000005,300000,20266227,11.450000000000005,3.0,2.9500000000000046,3.0,1.2135254101640613,3.9250000000000114,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,2.9500000000000046,3.0,fit_ci_plus_projection_boundaries_v1
central,1.15,80,10.625,300000,20266227,8.325000000000003,2.299999999999997,2.25,2.325000000000003,0.8904821928771542,3.075000000000003,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,2.25,2.325000000000003,fit_ci_plus_projection_boundaries_v1
central,1.15,85,7.450000000000003,300000,20266227,5.849999999999994,1.6000000000000085,1.5749999999999886,1.6000000000000085,0.587100840336139,2.200000000000003,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,1.5749999999999886,1.6000000000000085,fit_ci_plus_projection_boundaries_v1
central,1.15,90,5.025000000000006,300000,20266227,3.9749999999999943,1.0500000000000114,1.0,1.0750000000000028,0.3550720288115287,1.4749999999999943,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,1.0,1.0750000000000028,fit_ci_plus_projection_boundaries_v1
central,1.15,95,3.299999999999997,300000,20266227,2.75,0.5499999999999972,0.5499999999999972,0.625,0.17304321728691563,0.8500000000000085,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,0.5499999999999972,0.625,fit_ci_plus_projection_boundaries_v1
central,1.15,100,2.2249999999999943,300000,20266227,1.875,0.3499999999999943,0.3499999999999943,0.375,0.07669067627050483,0.5250000000000057,1.0606762705082031,1.2,0.08932372949179679,0.09093237294917977,5,0.3499999999999943,0.375,fit_ci_plus_projection_boundaries_v1
central,1.2,60,29.27500000000001,300000,20266328,23.72499999999999,5.5500000000000185,5.474999999999991,5.5500000000000185,3.2329211684673655,5.5500000000000185,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,5.474999999999991,5.5500000000000185,fit_ci_plus_projection_boundaries_v1
central,1.2,65,24.47499999999999,300000,20266328,19.27500000000001,5.1999999999999815,5.125,5.1999999999999815,2.991906762705072,5.1999999999999815,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,5.125,5.1999999999999815,fit_ci_plus_projection_boundaries_v1
central,1.2,70,19.799999999999997,300000,20266328,15.125,4.674999999999997,4.599999999999994,4.674999999999997,2.6402160864345756,4.674999999999997,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,4.599999999999994,4.674999999999997,fit_ci_plus_projection_boundaries_v1
central,1.2,75,15.375,300000,20266328,11.450000000000005,3.9249999999999954,3.9000000000000057,3.9250000000000114,2.2028491396558603,3.9250000000000114,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,3.9000000000000057,3.9250000000000114,fit_ci_plus_projection_boundaries_v1
central,1.2,80,11.400000000000006,300000,20266328,8.325000000000003,3.075000000000003,3.0249999999999915,3.075000000000003,1.6458203281312422,3.075000000000003,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,3.0249999999999915,3.075000000000003,fit_ci_plus_projection_boundaries_v1
central,1.2,85,8.025000000000006,300000,20266328,5.849999999999994,2.1750000000000114,2.125,2.200000000000003,1.1227771108443365,2.200000000000003,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,2.125,2.200000000000003,fit_ci_plus_projection_boundaries_v1
central,1.2,90,5.400000000000006,300000,20266328,3.9749999999999943,1.4250000000000114,1.3999999999999915,1.4749999999999943,0.7247338935574262,1.4749999999999943,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,1.3999999999999915,1.4749999999999943,fit_ci_plus_projection_boundaries_v1
central,1.2,95,3.549999999999997,300000,20266328,2.75,0.7999999999999972,0.7750000000000057,0.8500000000000085,0.3927050820328216,0.8500000000000085,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,0.7750000000000057,0.8500000000000085,fit_ci_plus_projection_boundaries_v1
central,1.2,100,2.299999999999997,300000,20266328,1.875,0.42499999999999716,0.42499999999999716,0.5250000000000057,0.21236694677870746,0.5250000000000057,1.1106762705082032,1.2,0.08932372949179679,0.09093237294917977,5,0.42499999999999716,0.5250000000000057,fit_ci_plus_projection_boundaries_v1
