year,conservative_ci_low,conservative_ci_high,scenario_ci_low,scenario_ci_high,mismatch_ci_low,mismatch_ci_high,ggm_cov_ci_low,ggm_cov_ci_high,window_ci_low,window_ci_high
1900,0.8131478289636971,0.9009554492272798,0.8308454926562252,0.8864945189627707,0.8131478289636971,0.9009554492272798,0.8247809855367673,0.8914103024176999,0.85635020349172,0.8863239112867699
1910,0.8157800190187574,0.8918844496606568,0.8267408452073066,0.8848133116874108,0.8157800190187574,0.8918844496606568,0.8211172232665817,0.88962094213342,0.8483458244441683,0.8655061069513319
1920,0.839722903333666,0.915371370111589,0.8537661734336164,0.9041968220304828,0.839722903333666,0.915371370111589,0.848247730914285,0.909964346321136,0.8644082545040027,0.8805748696108375
1930,0.7952353835414185,0.8725695383605093,0.7997174456417604,0.8671948559772217,0.7952353835414185,0.8725695383605093,0.7955572995912447,0.87199573976365,0.8305074698231273,0.8406913834938865
1940,0.7929815058084907,0.8760884582067756,0.8023795171639586,0.8680360854639937,0.7929815058084907,0.8760884582067756,0.7964162910314349,0.8734282228897675,0.8232594895895802,0.843433965394105
1950,0.8089979715055594,0.8861046179766926,0.8168641734395853,0.8781869931323312,0.8089979715055594,0.8861046179766926,0.8126995463031372,0.8827285883470424,0.8420725558156151,0.8550183011489263
1960,0.8228386431174807,0.8930219449750317,0.8299753296195239,0.8875346870848516,0.8228386431174807,0.8930219449750317,0.8262960501744797,0.8915559936977557,0.8578010700847021,0.8675413582604654
1970,0.8128694427526238,0.8847183405075874,0.8169479412265251,0.8802448051004375,0.8137510529228228,0.8842530125837679,0.8128694427526238,0.8847183405075874,0.8459456094765194,0.861941580060956
1980,0.8025787836661384,0.8817071936909064,0.8092657592562197,0.8757586963679735,0.8025787836661384,0.8817071936909064,0.8052195034781927,0.8803151325550806,0.8378822240959402,0.8636166827554352
1981,0.8158226887494979,0.8892799973738128,0.8207091323977928,0.8833283505783798,0.8158226887494979,0.8892799973738128,0.817044012139378,0.8875957957987045,0.8448948857769396,0.8564682558549106
1982,0.8052158081313642,0.8852002098729546,0.8137630287472,0.8790731044793927,0.8052158081313642,0.8852002098729546,0.8100358360878726,0.8832954032736291,0.8444000162419429,0.8543839419357939
1983,0.8237285240046575,0.8949192607339006,0.8302310660068527,0.890045996889296,0.8237285240046575,0.8949192607339006,0.8256294367335073,0.8945332155838291,0.8530711986674997,0.8668523525770608
1984,0.8248451079040057,0.8973136591316361,0.8318894594658262,0.8913428634876037,0.8248451079040057,0.8973136591316361,0.8282940281447813,0.8954406806271435,0.8581142590905437,0.86446794832226
1985,0.829573215130954,0.8982867441603954,0.8347164152204509,0.8930220830580908,0.829573215130954,0.8982867441603954,0.8303432109083626,0.8973710220271935,0.856330433552023,0.8669134361298629
1986,0.8298265004071049,0.8998380735129752,0.8362316874450965,0.8942421967297358,0.8298265004071049,0.8998380735129752,0.831667223497965,0.8988509068771819,0.8560841968688562,0.8683440612093232
1987,0.8313945529059883,0.9002852637332723,0.8381012376315948,0.8956251589169069,0.8313945529059883,0.9002852637332723,0.8334177535068765,0.9,0.8551760228167875,0.8697679942322314
1988,0.8360544936762588,0.9024703507573165,0.8417089076608222,0.8975437489257229,0.8360544936762588,0.9024703507573165,0.8379648477912056,0.9011145623019072,0.8677344488577844,0.8801308453185684
1989,0.8303300153630248,0.9033803426305246,0.8399084965864178,0.8973018970349456,0.8303300153630248,0.9033803426305246,0.8358042719844828,0.9,0.8708973133081195,0.8857126760886291
1990,0.8438556087284458,0.9088805690723681,0.8500422638654377,0.9034583578200751,0.8438556087284458,0.9088805690723681,0.8455545532629,0.9070514966855892,0.8715795031398509,0.8828141367566235
1991,0.829546880552297,0.9022007494524984,0.8392292509293363,0.896827054386798,0.829546880552297,0.9022007494524984,0.8352187889565043,0.9,0.8703340762678109,0.8836648697595626
1992,0.8412101654183367,0.9080710437458398,0.8487407148589885,0.9026737800840454,0.8412101654183367,0.9080710437458398,0.8442000190185511,0.9064192383907685,0.8750151283134573,0.8822177885760822
1993,0.8491390265966126,0.9130408886626729,0.8557570820257072,0.9075501354680605,0.8491390265966126,0.9130408886626729,0.8509319773297398,0.9110233139482229,0.8837354346016522,0.8981089722774434
1994,0.8267463724359004,0.9065165227738424,0.8403616423809541,0.8975714064243312,0.8267463724359004,0.9065165227738424,,,0.8715682114381094,0.8959955651904805
1995,0.8462317338429051,0.9149412655558522,0.8555131516830639,0.9075887327820404,0.8462317338429051,0.9149412655558522,0.8502023267168366,0.9110399033023125,0.8829007089148248,0.9006632081259967
1996,0.848883290781596,0.9198309089652805,0.8617243222991032,0.9121566900185143,0.8538397993854049,0.9198309089652805,0.848883290781596,0.9149577713027788,0.8846371711508958,0.8964732032612319
1997,0.865970494943835,0.9268697991466011,0.8731175798634094,0.9206503092569849,0.865970494943835,0.9268697991466011,0.8670624353562089,0.9247554336356566,0.8896581533705492,0.9005593873988119
1998,0.8665838152464902,0.92821561825966,0.8743814039837315,0.9216274882476567,0.8665838152464902,0.92821561825966,0.8687155895889976,0.9250993389078492,0.8895894774111,0.9066712320993332
1999,0.8665126509594582,0.9312934412908195,0.8791966319099511,0.9252036968698083,0.8720542735290533,0.9312934412908195,0.8665126509594582,0.9280727547264311,0.8932580401828389,0.9229651431509784
2000,0.8817282685007926,0.938790495342622,0.8904973693668774,0.9336246000284727,0.8852787933313153,0.938790495342622,0.8817282685007926,0.9380841068875867,0.8934105621338436,0.9149052362201106
2001,0.8289571399098936,0.940032448404101,0.891797841532324,0.934633488476299,0.8853854832145446,0.940032448404101,0.8289571399098936,0.9380265272484802,0.8981103309261071,0.9162703437822727
2002,0.8969403927315089,0.951010103369025,0.9076806214500848,0.9459173973818051,0.9037425698944487,0.9495515420375165,0.8969403927315089,0.951010103369025,0.9123006057456813,0.9303095787023624
2003,0.8767669375673095,0.9460142271518189,0.899964775158016,0.9407771279770312,0.8934255976431694,0.9460142271518189,0.8767669375673095,0.9436711475477005,0.9014082541935101,0.9241367285841161
2004,0.9009061374252801,0.954343285745187,0.9130713767914762,0.9498615791933864,0.9064861935238958,0.954343285745187,0.9009061374252801,0.9539132911097088,0.9049778952039802,0.9347673623462865
2005,0.8927331296985892,0.9538133480684863,0.911557340618238,0.9488840073878428,0.9046733837648336,0.9538133480684863,0.8927331296985892,0.9516564074233841,0.9116654047224706,0.9337276761448966
2006,0.7,0.9579961738612225,0.9171056834626601,0.9526736519325933,0.909827508578886,0.9579961738612225,0.7,0.9550589643975188,0.9173499222051807,0.9379083936693569
2007,0.9176205728163759,0.9617497084994384,0.9238464114111988,0.9571467842537748,0.9176205728163759,0.9617497084994384,,,0.9206013981212123,0.9436198444525644
2008,0.9259259112946043,0.9669787828397034,0.9316229745738099,0.962338811237639,0.9259259112946043,0.9669787828397034,,,0.9336593131021481,0.9499056804237724
2009,0.9188272863060748,0.9643912532129215,0.9274762428570611,0.9597668361881181,0.9188272863060748,0.9643912532129215,,,0.9297163214938096,0.9457291737574961
2010,0.908376057132949,0.9764391039938775,0.9461532214003248,0.9720032945835563,0.9408324872272668,0.9754544217284599,0.908376057132949,0.9764391039938775,0.9418045233405546,0.9622244254975102
2011,0.9404387719308895,0.9767585167427585,0.9466672617294635,0.9725126611248177,0.9404387719308895,0.9767585167427585,0.9505488621937671,0.9751331935982531,0.9424835992437538,0.9622697873810745
2012,0.9451765708042092,0.9784481064852173,0.9503692463899442,0.9748699941361478,0.9451765708042092,0.9784481064852173,,,0.9516604075717298,0.9645078366434152
2013,0.9504327111201382,0.9823090303504535,0.9552538109813036,0.97826168756541,0.9504327111201382,0.9823090303504535,,,0.9558033688197319,0.9688236167430895
2014,0.9507583009320653,0.9847837985408076,0.9575249092480073,0.9799229983598672,0.9507583009320653,0.9847837985408076,,,0.9600874738246346,0.9702220827043828
2015,0.8,0.9926373355648326,0.9725118848165069,0.9897153877728755,0.9686394689667761,0.9926373355648326,0.8,0.9924908448340563,0.9607344230903606,0.9837842095835346
2016,0.9549657479154767,0.9870253401943728,0.9619130265469047,0.9828364723032981,0.9549657479154767,0.9870253401943728,,,0.9708161888048202,0.9769166996303129
2017,0.9755750897259623,0.9974230220474873,0.9792057721232059,0.9944181443899349,0.9755750897259623,0.9974230220474873,,,0.9831094390304552,0.9883892015298257
2018,0.9790343689044175,0.9996278387175127,0.9825893639929685,0.9968794652222517,0.9790343689044175,0.9996278387175127,,,0.981092179552526,0.9920050007489066
2019,0.9824758697601602,1.0051219937932478,0.9881645998879781,1.0009098026324343,0.9824758697601602,1.0051219937932478,,,0.9869197032463614,0.9969171243304041
2020,0.8675584670319721,1.0075806247290555,0.9916493354380025,1.003359687942889,0.9908050267700896,1.0041743745556937,0.8675584670319721,1.0075806247290555,0.9896528015248902,1.0008626928572608
