fit_name,fit_params,contains_senogenic,age,survival
eta+epsilon,eta+epsilon,True,35.0,0.0
beta+Xc,beta+Xc,True,0.0,1.0
beta+Xc,beta+Xc,True,0.25,1.0
beta+Xc,beta+Xc,True,0.5,0.9998
beta+Xc,beta+Xc,True,0.75,0.9994
beta+Xc,beta+Xc,True,1.0,0.9984
beta+Xc,beta+Xc,True,1.25,0.9974
beta+Xc,beta+Xc,True,1.5,0.9954
beta+Xc,beta+Xc,True,1.75,0.9922
beta+Xc,beta+Xc,True,2.0,0.9902
beta+Xc,beta+Xc,True,2.25,0.9886
beta+Xc,beta+Xc,True,2.5,0.9856
beta+Xc,beta+Xc,True,2.75,0.9828
beta+Xc,beta+Xc,True,3.0,0.9794
beta+Xc,beta+Xc,True,3.25,0.9754
beta+Xc,beta+Xc,True,3.5,0.972
beta+Xc,beta+Xc,True,3.75,0.9668
beta+Xc,beta+Xc,True,4.0,0.9608
beta+Xc,beta+Xc,True,4.25,0.9562
beta+Xc,beta+Xc,True,4.5,0.9512
beta+Xc,beta+Xc,True,4.75,0.9474
beta+Xc,beta+Xc,True,5.0,0.9422
beta+Xc,beta+Xc,True,5.25,0.937
beta+Xc,beta+Xc,True,5.5,0.9302
beta+Xc,beta+Xc,True,5.75,0.9216
beta+Xc,beta+Xc,True,6.0,0.9134
beta+Xc,beta+Xc,True,6.25,0.9064
beta+Xc,beta+Xc,True,6.5,0.9004
beta+Xc,beta+Xc,True,6.75,0.8944
beta+Xc,beta+Xc,True,7.0,0.8856
beta+Xc,beta+Xc,True,7.25,0.8764
beta+Xc,beta+Xc,True,7.5,0.8702
beta+Xc,beta+Xc,True,7.75,0.8622
beta+Xc,beta+Xc,True,8.0,0.8528
beta+Xc,beta+Xc,True,8.25,0.8424
beta+Xc,beta+Xc,True,8.5,0.8332
beta+Xc,beta+Xc,True,8.75,0.8246
beta+Xc,beta+Xc,True,9.0,0.8144
beta+Xc,beta+Xc,True,9.25,0.8038
beta+Xc,beta+Xc,True,9.5,0.7942
beta+Xc,beta+Xc,True,9.75,0.7816
beta+Xc,beta+Xc,True,10.0,0.7704
beta+Xc,beta+Xc,True,10.25,0.757
beta+Xc,beta+Xc,True,10.5,0.745
beta+Xc,beta+Xc,True,10.75,0.7338
beta+Xc,beta+Xc,True,11.0,0.7208
beta+Xc,beta+Xc,True,11.25,0.7078
beta+Xc,beta+Xc,True,11.5,0.6942
beta+Xc,beta+Xc,True,11.75,0.6816
beta+Xc,beta+Xc,True,12.0,0.6704
beta+Xc,beta+Xc,True,12.25,0.6578
beta+Xc,beta+Xc,True,12.5,0.6456
beta+Xc,beta+Xc,True,12.75,0.6326
beta+Xc,beta+Xc,True,13.0,0.621
beta+Xc,beta+Xc,True,13.25,0.6078
beta+Xc,beta+Xc,True,13.5,0.594
beta+Xc,beta+Xc,True,13.75,0.5788
beta+Xc,beta+Xc,True,14.0,0.5628
beta+Xc,beta+Xc,True,14.25,0.55
beta+Xc,beta+Xc,True,14.5,0.5364
beta+Xc,beta+Xc,True,14.75,0.5212
beta+Xc,beta+Xc,True,15.0,0.5052
beta+Xc,beta+Xc,True,15.25,0.4906
beta+Xc,beta+Xc,True,15.5,0.4778
beta+Xc,beta+Xc,True,15.75,0.4622
beta+Xc,beta+Xc,True,16.0,0.4462
beta+Xc,beta+Xc,True,16.25,0.4282
beta+Xc,beta+Xc,True,16.5,0.413
beta+Xc,beta+Xc,True,16.75,0.399
beta+Xc,beta+Xc,True,17.0,0.3852
beta+Xc,beta+Xc,True,17.25,0.3674
beta+Xc,beta+Xc,True,17.5,0.3524
beta+Xc,beta+Xc,True,17.75,0.336
beta+Xc,beta+Xc,True,18.0,0.3228
beta+Xc,beta+Xc,True,18.25,0.3098
beta+Xc,beta+Xc,True,18.5,0.2942
beta+Xc,beta+Xc,True,18.75,0.279
beta+Xc,beta+Xc,True,19.0,0.2674
beta+Xc,beta+Xc,True,19.25,0.2552
beta+Xc,beta+Xc,True,19.5,0.2426
beta+Xc,beta+Xc,True,19.75,0.229
beta+Xc,beta+Xc,True,20.0,0.2146
beta+Xc,beta+Xc,True,20.25,0.2036
beta+Xc,beta+Xc,True,20.5,0.194
beta+Xc,beta+Xc,True,20.75,0.184
beta+Xc,beta+Xc,True,21.0,0.1736
beta+Xc,beta+Xc,True,21.25,0.1632
beta+Xc,beta+Xc,True,21.5,0.1514
beta+Xc,beta+Xc,True,21.75,0.142
beta+Xc,beta+Xc,True,22.0,0.1318
beta+Xc,beta+Xc,True,22.25,0.1256
beta+Xc,beta+Xc,True,22.5,0.1166
beta+Xc,beta+Xc,True,22.75,0.1082
beta+Xc,beta+Xc,True,23.0,0.1014
beta+Xc,beta+Xc,True,23.25,0.0952
beta+Xc,beta+Xc,True,23.5,0.0868
beta+Xc,beta+Xc,True,23.75,0.0794
beta+Xc,beta+Xc,True,24.0,0.0732
beta+Xc,beta+Xc,True,24.25,0.0672
beta+Xc,beta+Xc,True,24.5,0.061
beta+Xc,beta+Xc,True,24.75,0.0554
beta+Xc,beta+Xc,True,25.0,0.0496
beta+Xc,beta+Xc,True,25.25,0.0438
beta+Xc,beta+Xc,True,25.5,0.0406
beta+Xc,beta+Xc,True,25.75,0.0358
beta+Xc,beta+Xc,True,26.0,0.0324
beta+Xc,beta+Xc,True,26.25,0.0294
beta+Xc,beta+Xc,True,26.5,0.0268
beta+Xc,beta+Xc,True,26.75,0.023
beta+Xc,beta+Xc,True,27.0,0.0196
beta+Xc,beta+Xc,True,27.25,0.0176
beta+Xc,beta+Xc,True,27.5,0.015
beta+Xc,beta+Xc,True,27.75,0.013
beta+Xc,beta+Xc,True,28.0,0.0112
beta+Xc,beta+Xc,True,28.25,0.0098
beta+Xc,beta+Xc,True,28.5,0.0084
beta+Xc,beta+Xc,True,28.75,0.007
beta+Xc,beta+Xc,True,29.0,0.0056
beta+Xc,beta+Xc,True,29.25,0.0048
beta+Xc,beta+Xc,True,29.5,0.0044
beta+Xc,beta+Xc,True,29.75,0.004
beta+Xc,beta+Xc,True,30.0,0.0032
beta+Xc,beta+Xc,True,30.25,0.003
beta+Xc,beta+Xc,True,30.5,0.0026
beta+Xc,beta+Xc,True,30.75,0.0024
beta+Xc,beta+Xc,True,31.0,0.0016
beta+Xc,beta+Xc,True,31.25,0.0014
beta+Xc,beta+Xc,True,31.5,0.001
beta+Xc,beta+Xc,True,31.75,0.001
beta+Xc,beta+Xc,True,32.0,0.001
beta+Xc,beta+Xc,True,32.25,0.0006
beta+Xc,beta+Xc,True,32.5,0.0004
beta+Xc,beta+Xc,True,32.75,0.0002
beta+Xc,beta+Xc,True,33.0,0.0002
beta+Xc,beta+Xc,True,33.25,0.0002
beta+Xc,beta+Xc,True,33.5,0.0
beta+Xc,beta+Xc,True,33.75,0.0
beta+Xc,beta+Xc,True,34.0,0.0
beta+Xc,beta+Xc,True,34.25,0.0
beta+Xc,beta+Xc,True,34.5,0.0
beta+Xc,beta+Xc,True,34.75,0.0
beta+Xc,beta+Xc,True,35.0,0.0
beta+epsilon,beta+epsilon,True,0.0,1.0
beta+epsilon,beta+epsilon,True,0.25,1.0
beta+epsilon,beta+epsilon,True,0.5,1.0
beta+epsilon,beta+epsilon,True,0.75,1.0
beta+epsilon,beta+epsilon,True,1.0,1.0
beta+epsilon,beta+epsilon,True,1.25,0.9998
beta+epsilon,beta+epsilon,True,1.5,0.9994
beta+epsilon,beta+epsilon,True,1.75,0.999
beta+epsilon,beta+epsilon,True,2.0,0.9988
beta+epsilon,beta+epsilon,True,2.25,0.9984
beta+epsilon,beta+epsilon,True,2.5,0.9978
beta+epsilon,beta+epsilon,True,2.75,0.9974
beta+epsilon,beta+epsilon,True,3.0,0.996
beta+epsilon,beta+epsilon,True,3.25,0.9948
beta+epsilon,beta+epsilon,True,3.5,0.9936
beta+epsilon,beta+epsilon,True,3.75,0.9928
beta+epsilon,beta+epsilon,True,4.0,0.991
beta+epsilon,beta+epsilon,True,4.25,0.9896
beta+epsilon,beta+epsilon,True,4.5,0.9888
beta+epsilon,beta+epsilon,True,4.75,0.987
beta+epsilon,beta+epsilon,True,5.0,0.9854
beta+epsilon,beta+epsilon,True,5.25,0.9844
beta+epsilon,beta+epsilon,True,5.5,0.9822
beta+epsilon,beta+epsilon,True,5.75,0.9786
beta+epsilon,beta+epsilon,True,6.0,0.9766
beta+epsilon,beta+epsilon,True,6.25,0.9746
beta+epsilon,beta+epsilon,True,6.5,0.9708
beta+epsilon,beta+epsilon,True,6.75,0.9674
beta+epsilon,beta+epsilon,True,7.0,0.9638
beta+epsilon,beta+epsilon,True,7.25,0.9592
beta+epsilon,beta+epsilon,True,7.5,0.9534
beta+epsilon,beta+epsilon,True,7.75,0.9464
beta+epsilon,beta+epsilon,True,8.0,0.9392
beta+epsilon,beta+epsilon,True,8.25,0.9318
beta+epsilon,beta+epsilon,True,8.5,0.9234
beta+epsilon,beta+epsilon,True,8.75,0.9142
beta+epsilon,beta+epsilon,True,9.0,0.9054
beta+epsilon,beta+epsilon,True,9.25,0.8954
beta+epsilon,beta+epsilon,True,9.5,0.8862
beta+epsilon,beta+epsilon,True,9.75,0.871
beta+epsilon,beta+epsilon,True,10.0,0.86
beta+epsilon,beta+epsilon,True,10.25,0.8496
beta+epsilon,beta+epsilon,True,10.5,0.8352
beta+epsilon,beta+epsilon,True,10.75,0.8202
beta+epsilon,beta+epsilon,True,11.0,0.8034
beta+epsilon,beta+epsilon,True,11.25,0.7862
beta+epsilon,beta+epsilon,True,11.5,0.7656
beta+epsilon,beta+epsilon,True,11.75,0.749
beta+epsilon,beta+epsilon,True,12.0,0.729
beta+epsilon,beta+epsilon,True,12.25,0.709
beta+epsilon,beta+epsilon,True,12.5,0.6886
beta+epsilon,beta+epsilon,True,12.75,0.6648
beta+epsilon,beta+epsilon,True,13.0,0.6422
beta+epsilon,beta+epsilon,True,13.25,0.6196
beta+epsilon,beta+epsilon,True,13.5,0.593
beta+epsilon,beta+epsilon,True,13.75,0.564
beta+epsilon,beta+epsilon,True,14.0,0.5382
beta+epsilon,beta+epsilon,True,14.25,0.5124
beta+epsilon,beta+epsilon,True,14.5,0.4848
beta+epsilon,beta+epsilon,True,14.75,0.4588
beta+epsilon,beta+epsilon,True,15.0,0.4294
beta+epsilon,beta+epsilon,True,15.25,0.4034
beta+epsilon,beta+epsilon,True,15.5,0.3774
beta+epsilon,beta+epsilon,True,15.75,0.3532
beta+epsilon,beta+epsilon,True,16.0,0.3274
beta+epsilon,beta+epsilon,True,16.25,0.303
beta+epsilon,beta+epsilon,True,16.5,0.2784
beta+epsilon,beta+epsilon,True,16.75,0.256
beta+epsilon,beta+epsilon,True,17.0,0.2316
beta+epsilon,beta+epsilon,True,17.25,0.2128
beta+epsilon,beta+epsilon,True,17.5,0.1948
beta+epsilon,beta+epsilon,True,17.75,0.1736
beta+epsilon,beta+epsilon,True,18.0,0.1532
beta+epsilon,beta+epsilon,True,18.25,0.137
beta+epsilon,beta+epsilon,True,18.5,0.121
beta+epsilon,beta+epsilon,True,18.75,0.1088
beta+epsilon,beta+epsilon,True,19.0,0.0934
beta+epsilon,beta+epsilon,True,19.25,0.0796
beta+epsilon,beta+epsilon,True,19.5,0.0708
beta+epsilon,beta+epsilon,True,19.75,0.063
beta+epsilon,beta+epsilon,True,20.0,0.0548
beta+epsilon,beta+epsilon,True,20.25,0.0484
beta+epsilon,beta+epsilon,True,20.5,0.0384
beta+epsilon,beta+epsilon,True,20.75,0.032
beta+epsilon,beta+epsilon,True,21.0,0.0282
beta+epsilon,beta+epsilon,True,21.25,0.0236
beta+epsilon,beta+epsilon,True,21.5,0.0204
beta+epsilon,beta+epsilon,True,21.75,0.0168
beta+epsilon,beta+epsilon,True,22.0,0.0128
beta+epsilon,beta+epsilon,True,22.25,0.0104
beta+epsilon,beta+epsilon,True,22.5,0.009
beta+epsilon,beta+epsilon,True,22.75,0.0072
beta+epsilon,beta+epsilon,True,23.0,0.0052
beta+epsilon,beta+epsilon,True,23.25,0.0044
beta+epsilon,beta+epsilon,True,23.5,0.0036
beta+epsilon,beta+epsilon,True,23.75,0.0032
beta+epsilon,beta+epsilon,True,24.0,0.0024
beta+epsilon,beta+epsilon,True,24.25,0.0018
beta+epsilon,beta+epsilon,True,24.5,0.0014
beta+epsilon,beta+epsilon,True,24.75,0.0012
beta+epsilon,beta+epsilon,True,25.0,0.0008
beta+epsilon,beta+epsilon,True,25.25,0.0006
beta+epsilon,beta+epsilon,True,25.5,0.0004
beta+epsilon,beta+epsilon,True,25.75,0.0004
beta+epsilon,beta+epsilon,True,26.0,0.0
beta+epsilon,beta+epsilon,True,26.25,0.0
beta+epsilon,beta+epsilon,True,26.5,0.0
beta+epsilon,beta+epsilon,True,26.75,0.0
beta+epsilon,beta+epsilon,True,27.0,0.0
beta+epsilon,beta+epsilon,True,27.25,0.0
beta+epsilon,beta+epsilon,True,27.5,0.0
beta+epsilon,beta+epsilon,True,27.75,0.0
beta+epsilon,beta+epsilon,True,28.0,0.0
beta+epsilon,beta+epsilon,True,28.25,0.0
beta+epsilon,beta+epsilon,True,28.5,0.0
beta+epsilon,beta+epsilon,True,28.75,0.0
beta+epsilon,beta+epsilon,True,29.0,0.0
beta+epsilon,beta+epsilon,True,29.25,0.0
beta+epsilon,beta+epsilon,True,29.5,0.0
beta+epsilon,beta+epsilon,True,29.75,0.0
beta+epsilon,beta+epsilon,True,30.0,0.0
beta+epsilon,beta+epsilon,True,30.25,0.0
beta+epsilon,beta+epsilon,True,30.5,0.0
beta+epsilon,beta+epsilon,True,30.75,0.0
beta+epsilon,beta+epsilon,True,31.0,0.0
beta+epsilon,beta+epsilon,True,31.25,0.0
beta+epsilon,beta+epsilon,True,31.5,0.0
beta+epsilon,beta+epsilon,True,31.75,0.0
beta+epsilon,beta+epsilon,True,32.0,0.0
beta+epsilon,beta+epsilon,True,32.25,0.0
beta+epsilon,beta+epsilon,True,32.5,0.0
beta+epsilon,beta+epsilon,True,32.75,0.0
beta+epsilon,beta+epsilon,True,33.0,0.0
beta+epsilon,beta+epsilon,True,33.25,0.0
beta+epsilon,beta+epsilon,True,33.5,0.0
beta+epsilon,beta+epsilon,True,33.75,0.0
beta+epsilon,beta+epsilon,True,34.0,0.0
beta+epsilon,beta+epsilon,True,34.25,0.0
beta+epsilon,beta+epsilon,True,34.5,0.0
beta+epsilon,beta+epsilon,True,34.75,0.0
beta+epsilon,beta+epsilon,True,35.0,0.0
eta+beta,eta+beta,True,0.0,1.0
eta+beta,eta+beta,True,0.25,0.9998
eta+beta,eta+beta,True,0.5,0.9992
eta+beta,eta+beta,True,0.75,0.9986
eta+beta,eta+beta,True,1.0,0.9982
eta+beta,eta+beta,True,1.25,0.9976
eta+beta,eta+beta,True,1.5,0.9954
eta+beta,eta+beta,True,1.75,0.9942
eta+beta,eta+beta,True,2.0,0.9922
eta+beta,eta+beta,True,2.25,0.9912
eta+beta,eta+beta,True,2.5,0.9894
eta+beta,eta+beta,True,2.75,0.9866
eta+beta,eta+beta,True,3.0,0.9852
eta+beta,eta+beta,True,3.25,0.9826
eta+beta,eta+beta,True,3.5,0.981
eta+beta,eta+beta,True,3.75,0.977
eta+beta,eta+beta,True,4.0,0.9734
eta+beta,eta+beta,True,4.25,0.9694
eta+beta,eta+beta,True,4.5,0.9648
eta+beta,eta+beta,True,4.75,0.9596
eta+beta,eta+beta,True,5.0,0.9568
eta+beta,eta+beta,True,5.25,0.9542
eta+beta,eta+beta,True,5.5,0.9484
eta+beta,eta+beta,True,5.75,0.9456
eta+beta,eta+beta,True,6.0,0.9424
eta+beta,eta+beta,True,6.25,0.936
eta+beta,eta+beta,True,6.5,0.932
eta+beta,eta+beta,True,6.75,0.9244
eta+beta,eta+beta,True,7.0,0.92
eta+beta,eta+beta,True,7.25,0.9136
eta+beta,eta+beta,True,7.5,0.908
eta+beta,eta+beta,True,7.75,0.9026
eta+beta,eta+beta,True,8.0,0.8958
eta+beta,eta+beta,True,8.25,0.8882
eta+beta,eta+beta,True,8.5,0.8808
eta+beta,eta+beta,True,8.75,0.8736
eta+beta,eta+beta,True,9.0,0.8636
eta+beta,eta+beta,True,9.25,0.8548
eta+beta,eta+beta,True,9.5,0.845
eta+beta,eta+beta,True,9.75,0.8358
eta+beta,eta+beta,True,10.0,0.8232
eta+beta,eta+beta,True,10.25,0.8136
eta+beta,eta+beta,True,10.5,0.8
eta+beta,eta+beta,True,10.75,0.7874
eta+beta,eta+beta,True,11.0,0.7734
eta+beta,eta+beta,True,11.25,0.7618
eta+beta,eta+beta,True,11.5,0.749
eta+beta,eta+beta,True,11.75,0.7356
eta+beta,eta+beta,True,12.0,0.7204
eta+beta,eta+beta,True,12.25,0.704
eta+beta,eta+beta,True,12.5,0.6872
eta+beta,eta+beta,True,12.75,0.6726
eta+beta,eta+beta,True,13.0,0.6548
eta+beta,eta+beta,True,13.25,0.6372
eta+beta,eta+beta,True,13.5,0.6176
eta+beta,eta+beta,True,13.75,0.599
eta+beta,eta+beta,True,14.0,0.5784
eta+beta,eta+beta,True,14.25,0.5576
eta+beta,eta+beta,True,14.5,0.5376
eta+beta,eta+beta,True,14.75,0.5174
eta+beta,eta+beta,True,15.0,0.498
eta+beta,eta+beta,True,15.25,0.475
eta+beta,eta+beta,True,15.5,0.4544
eta+beta,eta+beta,True,15.75,0.4302
eta+beta,eta+beta,True,16.0,0.4094
eta+beta,eta+beta,True,16.25,0.3868
eta+beta,eta+beta,True,16.5,0.362
eta+beta,eta+beta,True,16.75,0.3422
eta+beta,eta+beta,True,17.0,0.3222
eta+beta,eta+beta,True,17.25,0.3008
eta+beta,eta+beta,True,17.5,0.2824
eta+beta,eta+beta,True,17.75,0.2644
eta+beta,eta+beta,True,18.0,0.2438
eta+beta,eta+beta,True,18.25,0.2256
eta+beta,eta+beta,True,18.5,0.2086
eta+beta,eta+beta,True,18.75,0.1934
eta+beta,eta+beta,True,19.0,0.1776
eta+beta,eta+beta,True,19.25,0.1586
eta+beta,eta+beta,True,19.5,0.1412
eta+beta,eta+beta,True,19.75,0.127
eta+beta,eta+beta,True,20.0,0.1138
eta+beta,eta+beta,True,20.25,0.1018
eta+beta,eta+beta,True,20.5,0.0916
eta+beta,eta+beta,True,20.75,0.0832
eta+beta,eta+beta,True,21.0,0.0722
eta+beta,eta+beta,True,21.25,0.0618
eta+beta,eta+beta,True,21.5,0.0552
eta+beta,eta+beta,True,21.75,0.048
eta+beta,eta+beta,True,22.0,0.0424
eta+beta,eta+beta,True,22.25,0.0368
eta+beta,eta+beta,True,22.5,0.031
eta+beta,eta+beta,True,22.75,0.027
eta+beta,eta+beta,True,23.0,0.0226
eta+beta,eta+beta,True,23.25,0.0184
eta+beta,eta+beta,True,23.5,0.0162
eta+beta,eta+beta,True,23.75,0.013
eta+beta,eta+beta,True,24.0,0.011
eta+beta,eta+beta,True,24.25,0.009
eta+beta,eta+beta,True,24.5,0.0086
eta+beta,eta+beta,True,24.75,0.007
eta+beta,eta+beta,True,25.0,0.0058
eta+beta,eta+beta,True,25.25,0.0048
eta+beta,eta+beta,True,25.5,0.0034
eta+beta,eta+beta,True,25.75,0.0028
eta+beta,eta+beta,True,26.0,0.002
eta+beta,eta+beta,True,26.25,0.002
eta+beta,eta+beta,True,26.5,0.0018
eta+beta,eta+beta,True,26.75,0.0016
eta+beta,eta+beta,True,27.0,0.0012
eta+beta,eta+beta,True,27.25,0.001
eta+beta,eta+beta,True,27.5,0.001
eta+beta,eta+beta,True,27.75,0.001
eta+beta,eta+beta,True,28.0,0.0008
eta+beta,eta+beta,True,28.25,0.0008
eta+beta,eta+beta,True,28.5,0.0008
eta+beta,eta+beta,True,28.75,0.0006
eta+beta,eta+beta,True,29.0,0.0004
eta+beta,eta+beta,True,29.25,0.0002
eta+beta,eta+beta,True,29.5,0.0
eta+beta,eta+beta,True,29.75,0.0
eta+beta,eta+beta,True,30.0,0.0
eta+beta,eta+beta,True,30.25,0.0
eta+beta,eta+beta,True,30.5,0.0
eta+beta,eta+beta,True,30.75,0.0
eta+beta,eta+beta,True,31.0,0.0
eta+beta,eta+beta,True,31.25,0.0
eta+beta,eta+beta,True,31.5,0.0
eta+beta,eta+beta,True,31.75,0.0
eta+beta,eta+beta,True,32.0,0.0
eta+beta,eta+beta,True,32.25,0.0
eta+beta,eta+beta,True,32.5,0.0
eta+beta,eta+beta,True,32.75,0.0
eta+beta,eta+beta,True,33.0,0.0
eta+beta,eta+beta,True,33.25,0.0
eta+beta,eta+beta,True,33.5,0.0
eta+beta,eta+beta,True,33.75,0.0
eta+beta,eta+beta,True,34.0,0.0
eta+beta,eta+beta,True,34.25,0.0
eta+beta,eta+beta,True,34.5,0.0
eta+beta,eta+beta,True,34.75,0.0
eta+beta,eta+beta,True,35.0,0.0
